INSEE_COM;Annee;Nb_mutations;NbMaisons;NbApparts;propmaison;propappart;PrixMoyen;Prixm2Moyen;SurfaceMoy
35279;2023;19;19;0;100;0;235338.421052632;2608.57894736842;91.2631578947368
35280;2023;14;14;0;100;0;169705.714285714;1973.28571428571;102.642857142857
35281;2023;199;45;154;22.6130653266332;77.3869346733668;223832.085427136;3292.90452261307;68.6884422110553
35282;2023;28;28;0;100;0;157638.107142857;1803.03571428571;89.5
35283;2023;4;4;0;100;0;201362.5;1999;104.5
35284;2023;24;20;4;83.3333333333333;16.6666666666667;371008.041666667;3518.54166666667;106.625
35285;2023;21;21;0;100;0;170141.428571429;1642.33333333333;102.619047619048
35286;2023;3;3;0;100;0;123750.333333333;1089;111.333333333333
35287;2023;41;32;9;78.0487804878049;21.9512195121951;550657.243902439;6356.09756097561;88.390243902439
35288;2023;745;278;467;37.3154362416107;62.6845637583893;374935.766442953;4962.15570469799;75.1597315436242
35289;2023;12;12;0;100;0;105680.916666667;1345.33333333333;79.25
35290;2023;9;9;0;100;0;165405.555555556;1608.88888888889;115.888888888889
35291;2023;7;7;0;100;0;188247.142857143;2066.14285714286;97.2857142857143
35292;2023;26;26;0;100;0;139854.846153846;1456.46153846154;97.2692307692308
35294;2023;23;23;0;100;0;168510.217391304;1773.65217391304;94.695652173913
35295;2023;7;7;0;100;0;176658.571428571;1880.42857142857;100.571428571429
35296;2023;16;16;0;100;0;181067.625;2158.625;94.125
35297;2023;62;38;24;61.2903225806452;38.7096774193548;128659.64516129;1707.11290322581;78.2258064516129
35299;2023;52;41;11;78.8461538461538;21.1538461538462;286708.461538462;3216.01923076923;89.1346153846154
35300;2023;27;25;2;92.5925925925926;7.40740740740741;180560.851851852;2212.48148148148;99.4814814814815
35302;2023;4;4;0;100;0;216400;2383.75;94.75
35304;2023;16;15;1;93.75;6.25;153359.875;2075.6875;73.3125
35305;2023;1;1;0;100;0;21000;700;30
35306;2023;22;20;2;90.9090909090909;9.09090909090909;322935.454545455;3473.72727272727;102.454545454545
35307;2023;9;9;0;100;0;152458.333333333;1472.44444444444;99.5555555555556
35308;2023;58;57;1;98.2758620689655;1.72413793103448;188419.017241379;2019.55172413793;94.2241379310345
35309;2023;10;10;0;100;0;187496.7;1784.3;106
35310;2023;7;7;0;100;0;214638.571428571;2085.14285714286;102.714285714286
35311;2023;10;10;0;100;0;187349;1516;127.6
35312;2023;21;21;0;100;0;197621.428571429;2244.14285714286;90.0952380952381
35314;2023;12;12;0;100;0;484704.083333333;4264.5;110.083333333333
